full_name,abbreviation,certainty,full_name_pointing_to_abbreviation_count,abbreviation_pointing_to_full_name_count,full_names_pointing_to_abbreviation_sum,full_name_pointing_to_abbreviation_share,abbreviations_pointing_to_full_name_sum,abbreviation_pointing_to_full_name_share,frequency_score,frequency_score_normalized,wasserstein_distance,n_departments,n_not_overlapping_departments,penalization_score,department_score,wasserstein_distance_normalized,penalization_score_normalized,department_score_normalized,score,normalized_score
Lisa Berins,lis,0.313,45,45,265,0.16981132075471697,45,1.0,0.16981132075471697,0.16978711629746618,0.9684519442406455,9,7,0.7777777777777778,0.1227960130602942,0.9564066619787635,0.8336106489184693,0.45959763039496954,-0.9423847466924358,0.7748645504331824
Lisa Schliep,lis,0.6,77,77,265,0.29056603773584905,77,1.0,0.29056603773584905,0.29054535392692565,0.8558091286307055,15,12,0.8,-0.05282138922564894,0.8007559818226041,0.853577371048253,0.3514083588547266,-1.2419537127816522,0.6557504858397123
Nico Fliegner,nf,0.8,259,259,259,1.0,390,0.6641025641025641,0.6641025641025641,0.6640927708888874,0.8178622483899257,5,2,0.4,0.2541443278428572,0.7483207005550037,0.4941763727121465,0.5405148875083977,-2.004607658397285,0.3525054183467367
Nico Fliegner,cg,0.3,2,2,28,0.07142857142857142,390,0.005128205128205128,0.0003663003663003663,0.0003371556769615022,,5,5,,0.0,,,0.3839490270782652,-0.6842861827552267,0.8774892295434437
Nico Fliegner,noe,0.6,20,20,130,0.15384615384615385,390,0.05128205128205128,0.007889546351084813,0.007860621004758421,1.0,9,8,0.8888888888888888,0.06655574043261236,1.0,0.9334442595673876,0.4249507557253025,-1.0328113767300608,0.7389092791249264
Nico Fliegner,nie,0.497,109,109,109,1.0,390,0.2794871794871795,0.2794871794871795,0.2794661726700562,1.0,5,4,0.8,0.14642262895174696,1.0,0.853577371048253,0.4741528301017471,-1.2506190027718034,0.6523050090766065
Frank Pfütze,pfü,0.4,54,54,59,0.9152542372881356,60,0.9,0.823728813559322,0.8237236743078441,0.7787980793030048,7,3,0.42857142857142855,0.1744936686589994,0.6943415412522963,0.5198478725932969,0.49144602142432464,-1.7151696957321687,0.467591211881263
Frank Pfütze,fp,0.9,6,6,60,0.1,60,0.1,0.010000000000000002,0.009971136184728419,1.0,12,11,0.9166666666666666,0.04159733777038266,1.0,0.9584026622296173,0.4095751074826635,-1.319546243667392,0.6248982855716034
Werner Kopfmüller,pfü,0.3,5,5,59,0.0847457627118644,5,1.0,0.0847457627118644,0.08471907813688297,,7,7,,0.0,,,0.3839490270782652,-0.7686681052151482,0.8439374438106756
Kendra Reinhardt,ka,0.6,7,7,452,0.015486725663716814,9,0.7777777777777778,0.012045231071779744,0.012016426885974669,,6,6,,0.0,,,0.3839490270782652,-0.9959654539642399,0.7535598875695506
Kendra Reinhardt,kr,0.9,2,2,58,0.034482758620689655,9,0.2222222222222222,0.007662835249042145,0.007633903292869926,,8,8,,0.0,,,0.3839490270782652,-1.291582930371135,0.6360170070790435
Karoline Maria Keybe,ka,0.523,31,31,452,0.06858407079646017,79,0.3924050632911392,0.026912736641648928,0.026884365923454275,,6,6,,0.0,,,0.3839490270782652,-0.9338333930017194,0.7782647240532169
Karoline Maria Keybe,mey,0.3,46,46,217,0.2119815668202765,79,0.5822784810126582,0.1234323047307939,0.12340674807621886,1.0,2,1,0.4,0.5058236272878536,1.0,0.4941763727121465,0.6955621647957484,-1.1189689128719673,0.7046514771262877
Karoline Maria Keybe,kol,0.6,2,2,14,0.14285714285714285,79,0.02531645569620253,0.003616636528028933,0.003587586603440112,,3,3,,0.0,,,0.3839490270782652,-0.9875366136817053,0.7569113476322156
Karin Rieck,ka,0.396,5,5,452,0.011061946902654867,44,0.11363636363636363,0.001257039420756235,0.0012279207012431516,0.7003318816882255,4,2,0.5,0.0018897436630950226,0.5859163659592681,0.5840266222961731,0.3851132055004876,-0.7823411262017308,0.8385008022044198
Karin Rieck,kr,0.9,11,11,58,0.1896551724137931,44,0.25,0.04741379310344827,0.047386020101118864,1.0,7,6,0.8571428571428571,0.09507962918944612,1.0,0.9049203708105539,0.44252292514546127,-1.3899089452465803,0.5969207968140448
Karin Rieck,karin,0.65,28,28,28,1.0,44,0.6363636363636364,0.6363636363636364,0.6363530344112868,1.0,2,1,0.4,0.5058236272878536,1.0,0.4941763727121465,0.6955621647957484,-1.9819151992070352,0.3615283524812663
Karin Tamcke,ka,0.381,1,1,452,0.0022123893805309734,1,1.0,0.0022123893805309734,0.0021832985145984543,,7,7,,0.0,,,0.3839490270782652,-0.7671323255928637,0.8445480976962173
Klaus Staeubert,ka,0.415,75,75,452,0.16592920353982302,123,0.6097560975609756,0.1011763436218433,0.10115013808651055,,11,11,,0.0,,,0.3839490270782652,-0.9000991651647757,0.7916780660493431
Klaus Staeubert,ks,0.9,48,48,127,0.3779527559055118,123,0.3902439024390244,0.14749375840215095,0.14746890326813544,0.846686252053976,9,7,0.7777777777777778,-0.04546072578198457,0.7881499231364847,0.8336106489184693,0.35594290273054546,-1.4034118059986809,0.5915518140091192
Kay Würker,ka,0.507,199,199,452,0.44026548672566373,199,1.0,0.44026548672566373,0.44024916745940895,1.0,5,4,0.8,0.14642262895174696,1.0,0.853577371048253,0.4741528301017471,-1.421401997561156,0.5843985869315741
Kathrin Kabelitz,ka,0.458,107,107,452,0.23672566371681417,107,1.0,0.23672566371681417,0.23670341017192123,0.8872410375420021,5,2,0.4,0.3500124545534478,0.8441888272655943,0.4941763727121465,0.5995745402406413,-1.2942779504125626,0.6349454181374852
Kai Kollenberg,ka,0.451,14,14,452,0.030973451327433628,42,0.3333333333333333,0.01032448377581121,0.010295629420983832,,6,6,,0.0,,,0.3839490270782652,-0.8452446564992491,0.8134892154942516
Kai Kollenberg,kol,0.7,12,12,14,0.8571428571428571,42,0.2857142857142857,0.24489795918367344,0.2448759439050701,1.0,2,1,0.4,0.5058236272878536,1.0,0.4941763727121465,0.6955621647957484,-1.6404381087008184,0.4973058488846626
Kai Kollenberg,allner,0.3,16,16,73,0.2191780821917808,42,0.38095238095238093,0.08349641226353555,0.08346969126328083,,4,4,,0.0,,,0.3839490270782652,-0.7674187183415461,0.8444342227350992
Nikos Natsidis,nn,0.8,109,109,109,1.0,109,1.0,1.0,1.0,0.980831259244299,4,1,0.25,0.6141114931600787,0.9735124914961852,0.3594009983361065,0.762273009921951,-2.562273009921951,0.130767540854892
